id,name,latitude,longitude,feature_code,elevation
3836711,Nevado de San Pedro,-22.93333,-66.96667,MT,5618
3836907,Cerro San Miguel,-24.53599,-66.13224,MT,5622
3837208,Cerro San Juan,-33.46922,-69.81537,MT,6148
3838243,Cerro Salle,-22.48515,-66.76699,MT,5443
3838283,Cerro Salin,-24.32847,-68.06734,MT,6029
3838379,Cerro Saladillo,-24.47637,-66.2475,MT,5294
3838491,Cerro Rumibola,-24.5604,-66.33324,MT,5405
3838578,Cerro Rosario,-22.83333,-66.63333,MT,5475
3838602,Cerro Rosado,-23.97833,-65.93992,MT,5039
3838853,Cerro Rio Grande,-25.49558,-68.33464,MT,5070
3839037,Cerro del Rincon,-24.03495,-67.3225,MT,5449
3839160,Cerro Remate,-24.38001,-66.4875,MT,5137
3839330,Morro Rasquido,-27.24675,-68.30486,MT,5500
3839463,Cerro las Raices,-30.05826,-69.6058,MT,5122
3839481,Morro Rabicano,-33.31413,-69.98266,MT,5306
3839510,Cerro Quironcolo,-24.37373,-66.85671,MT,5174
3839678,Morro del Quemado,-24.83226,-66.40472,MT,6147
3839706,Nevado Queva,-24.3078,-66.7325,MT,6097
3839889,Cerro Puntiagudo,-27.13333,-68.81667,MT,5550
3839890,Cerro Puntiagudo,-25.2,-68.5,MT,5180
3839987,Cerro de la Punta,-25.34461,-68.40468,MT,5059
3840014,Cerro Pululos,-22.60254,-66.80047,MT,5021
3840752,Cerro Portezuelo,-24.28913,-65.67904,MT,5417
3840787,Cerro Poquis,-23.0045,-66.94766,MT,5218
3840887,Nevado el Plomo,-33.10387,-70.06554,MT,6070
3840929,Cerro del Plata,-33.0047,-69.44107,MT,5433
3840961,Monte Pissis,-27.7586,-68.79913,MT,6882
3841324,Cerro Picos del Barroso,-34.28009,-70.05087,MT,5073
3841540,Cerro del Penon,-25.28435,-68.42098,MT,5059
3841575,Cerro de las Penas Blancas,-24.6083,-66.33203,MT,5451
3841670,Cerro Peinado,-26.6216,-68.11522,MT,5740
3841783,Cerro de los Patos,-27.28333,-68.83333,MT,6239
3841784,Cerro Patos,-25.47387,-68.09055,MT,5574
3841801,Cerro Pata del Indio,-30.27524,-69.63976,MT,5169
3841815,Nevado de Pastos Grandes,-24.28293,-66.72774,MT,5528
3842347,Cerro Pajonal,-25.45,-68.3,MT,5500
3842379,Cerro Pairique,-22.93333,-66.81667,MT,5058
3842449,Cerro Pabellon,-26.79375,-68.13614,MT,5384
3842622,Cerro Onas,-25.44602,-68.00048,MT,5770
3842702,Cerro Ojo de las Lozas,-27.10857,-68.27085,MT,5247
3842954,Cerro Penon,-26.7702,-68.41854,MT,5124
3843118,Sierra Nevada de Lagunas Bravas,-26.48,-68.58,MT,6127
3843150,Cerro Negro Overo,-28.93931,-67.82354,MT,5548
3843173,Cerro Negro de la Laguna Verde,-27.70413,-68.54708,MT,5715
3843198,Filo Negro,-26.5132,-67.87814,MT,5023
3843254,Cerro Negro,-33.46081,-69.69855,MT,5812
3843316,Cerro Negro,-25.01667,-68.4,MT,5062
3843490,Cerro del Nacimiento del Jaguee,-27.75,-68.75,MT,5553
3843491,'Cerro del Nacimiento,-27.19406,-68.56015,MT,6436
3843694,Cerro Moraya,-23.00293,-66.27215,MT,5013
3843929,Nevado de Mondaca,-30.08745,-69.78594,MT,5041
3844025,Cerro Mojones,-25.65432,-67.35622,MT,5659
3844212,Cerro de las Minas,-27.19256,-66.08019,MT,5083
3844397,Cerro Mercedario,-31.97889,-70.11277,MT,6770
3844452,Cerro Mellado,-24.59332,-68.26805,MT,5112
3844471,Cumbre de Mejicana,-29.05,-67.85,MT,5064
3844801,Cerro Marmolejo,-33.73401,-69.87826,MT,6108
3845166,Cerro Malcante,-25.06722,-65.84452,MT,5032
3845217,Cerro de la Majadita,-30.41667,-69.73333,MT,6280
3845299,Cerro Macon,-24.49461,-67.27761,MT,5284
3845362,Cerro Luracatao,-25.17196,-66.54969,MT,5157
3845439,Alto Lozano,-24.00334,-65.72482,MT,5112
3845950,Cerro Los Mogotes,-28.61506,-69.57655,MT,5215
3846841,Cumbre de la Linea,-26.80973,-68.34711,MT,5606
